RecipeTitle,Type,Taste,Attributes,Link
Croque-Monsieur Breakfast Casserole,BREAKFAST,salty,easy to make,https://cooking.nytimes.com/recipes/1019767-croque-monsieur-breakfast-casserole?action=click&module=Global%20Search%20Recipe%20Card&pgType=search&rank=8
Breakfast Carbonara,BREAKFAST,salty,,https://cooking.nytimes.com/recipes/1018326-breakfast-carbonara?action=click&module=Global%20Search%20Recipe%20Card&pgType=search&rank=1
Chia Seed Breakfast Pudding,BREAKFAST,sweet,,https://cooking.nytimes.com/recipes/1016254-chia-seed-breakfast-pudding?action=click&module=Global%20Search%20Recipe%20Card&pgType=search&rank=16
"Bacon, Egg and Cheese Breakfast Casserole",BREAKFAST,salty,,https://cooking.nytimes.com/recipes/1019120-bacon-egg-and-cheese-breakfast-casserole?action=click&module=Global%20Search%20Recipe%20Card&pgType=search&rank=19
Hummus Wrap,LUNCH,salty,HEALTHY,https://cooking.nytimes.com/recipes/1014014-hummus-wrap?action=click&module=Global%20Search%20Recipe%20Card&pgType=search&rank=20
Spicy Grilled Zucchini,LUNCH,SPICY + salty,healthy,https://cooking.nytimes.com/recipes/1014194-spicy-grilled-zucchini?action=click&module=Global%20Search%20Recipe%20Card&pgType=search&rank=14
"Vegan Pho With Carrots, Noodles and Edamame",LUNCH,salty,healthy + VEGAN,https://cooking.nytimes.com/recipes/1014452-vegan-pho-with-carrots-noodles-and-edamame?action=click&module=Global%20Search%20Recipe%20Card&pgType=search&rank=32
Panzanella With Mozzarella and Herbs,LUNCH,salty,,https://cooking.nytimes.com/recipes/1017518-panzanella-with-mozzarella-and-herbs?action=click&module=Recirculation%20Band%20Recipe%20Card&region=More%20from%20Sam%20Sifton%E2%80%99s%20Suggestions&pgType=recipedetails&rank=3
"Linguine With Chickpeas, Broccoli and Ricotta",DINNER,salty,easy to make,https://cooking.nytimes.com/recipes/1019906-linguine-with-chickpeas-broccoli-and-ricotta?module=Recipe+of+The+Day&pgType=homepage&action=click
Creamy Pasta With Smoked Bacon and Peas,DINNER,salty,easy to make,https://cooking.nytimes.com/recipes/1012805-creamy-pasta-with-smoked-bacon-and-peas?action=click&module=RecentlyViewed&pgType=recipe-page&region=Recently%20Viewed&rank=3
Spicy Roasted Chicken Thighs,DINNER,SPICY,easy to make,https://cooking.nytimes.com/recipes/7032-spicy-roasted-chicken-thighs?action=click&module=Global%20Search%20Recipe%20Card&pgType=search&rank=2
Pecan Pie Truffles,DESSERT,sweet,,https://cooking.nytimes.com/recipes/1015214-pecan-pie-truffles?action=click&module=Collection%20Page%20Recipe%20Card&region=Vegan%20Dessert%20Recipes&pgType=collection&rank=1
Vegan Chocolate Chip Cookies,DESSERT,sweet,,https://cooking.nytimes.com/recipes/1020873-vegan-chocolate-chip-cookies?action=click&module=Recirculation%20Band%20Recipe%20Card&region=More%20from%20Vegan%20Dessert%20Recipes&pgType=recipedetails&rank=1
Banana Cream Pie No-Churn Ice Cream,DESSERT,sweet,,https://cooking.nytimes.com/recipes/1020352-banana-cream-pie-no-churn-ice-cream?action=click&module=Recirculation%20Band%20Recipe%20Card&region=More%20recipes%20from%20Erin%20Jeanne%20McDowell&pgType=recipedetails&rank=2
Spicy Hot Chocolate,DESSERT,sweet + spicy,,https://cooking.nytimes.com/recipes/1016035-spicy-hot-chocolate?action=click&module=Global%20Search%20Recipe%20Card&pgType=search&rank=12
Classic Zucchini Bread,SNACK,salty,,https://cooking.nytimes.com/recipes/1018909-classic-zucchini-bread?action=click&module=Recirculation%20Band%20Recipe%20Card&region=Trending%20on%20Cooking&pgType=recipedetails&rank=1
Parmesan Cream Crackers,SNACK,salty,easy to make,https://cooking.nytimes.com/recipes/1012655-parmesan-cream-crackers?action=click&module=Collection%20Page%20Recipe%20Card&region=Back%20to%20School%20Snacks&pgType=collection&rank=3
Crisp Nori Chips With Toasted Sesame Oil,SNACK,salty,easy to make,https://cooking.nytimes.com/recipes/1012820-crisp-nori-chips-with-toasted-sesame-oil?action=click&module=Collection%20Page%20Recipe%20Card&region=Back%20to%20School%20Snacks&pgType=collection&rank=5
5-Minute Hummus,SNACK,salty,easy to make + healthy,https://cooking.nytimes.com/recipes/1019619-5-minute-hummus?action=click&module=Recirculation%20Band%20Recipe%20Card&region=Trending%20on%20Cooking&pgType=recipedetails&rank=3
